,Datum,Tijd,Parameter,Locatie,Waarde,Verwachting,Eenheid,Windrichting,Windrichting eenheid,Bemonsteringshoogte,Referentievlak,Unnamed: 11
63,29-4-2021,00:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.88,,m/s,354.7,graden,2910.0,NVT,
64,29-4-2021,00:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.81,,m/s,356.7,graden,2910.0,NVT,
65,29-4-2021,00:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.25,,m/s,358.9,graden,2910.0,NVT,
66,29-4-2021,00:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.31,,m/s,0.7000000000000001,graden,2910.0,NVT,
67,29-4-2021,00:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.05,,m/s,2.9,graden,2910.0,NVT,
68,29-4-2021,00:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.29,,m/s,5.0,graden,2910.0,NVT,
69,29-4-2021,01:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.64,,m/s,5.3,graden,2910.0,NVT,
70,29-4-2021,01:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.68,,m/s,4.1,graden,2910.0,NVT,
71,29-4-2021,01:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.43,,m/s,3.9,graden,2910.0,NVT,
72,29-4-2021,01:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.86,,m/s,3.0,graden,2910.0,NVT,
73,29-4-2021,01:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.56,,m/s,359.3,graden,2910.0,NVT,
74,29-4-2021,01:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.48,,m/s,357.6,graden,2910.0,NVT,
75,29-4-2021,02:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.62,,m/s,355.7,graden,2910.0,NVT,
76,29-4-2021,02:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.19,,m/s,358.9,graden,2910.0,NVT,
77,29-4-2021,02:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.26,,m/s,359.2,graden,2910.0,NVT,
78,29-4-2021,02:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.39,,m/s,0.5,graden,2910.0,NVT,
79,29-4-2021,02:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.15,,m/s,1.9,graden,2910.0,NVT,
80,29-4-2021,02:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.31,,m/s,358.5,graden,2910.0,NVT,
81,29-4-2021,03:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.72,,m/s,357.9,graden,2910.0,NVT,
82,29-4-2021,03:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.5,,m/s,358.9,graden,2910.0,NVT,
83,29-4-2021,03:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.79,,m/s,358.6,graden,2910.0,NVT,
84,29-4-2021,03:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.79,,m/s,355.9,graden,2910.0,NVT,
85,29-4-2021,03:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.59,,m/s,353.5,graden,2910.0,NVT,
86,29-4-2021,03:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.83,,m/s,353.8,graden,2910.0,NVT,
87,29-4-2021,04:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.37,,m/s,353.4,graden,2910.0,NVT,
88,29-4-2021,04:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.2,,m/s,352.6,graden,2910.0,NVT,
89,29-4-2021,04:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.47,,m/s,350.3,graden,2910.0,NVT,
90,29-4-2021,04:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.38,,m/s,347.5,graden,2910.0,NVT,
91,29-4-2021,04:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.27,,m/s,345.4,graden,2910.0,NVT,
92,29-4-2021,04:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.96,,m/s,343.2,graden,2910.0,NVT,
93,29-4-2021,05:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.55,,m/s,341.5,graden,2910.0,NVT,
94,29-4-2021,05:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.74,,m/s,339.7,graden,2910.0,NVT,
95,29-4-2021,05:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.88,,m/s,339.0,graden,2910.0,NVT,
96,29-4-2021,05:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.99,,m/s,336.2,graden,2910.0,NVT,
97,29-4-2021,05:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.4,,m/s,337.5,graden,2910.0,NVT,
98,29-4-2021,05:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.07,,m/s,339.3,graden,2910.0,NVT,
99,29-4-2021,06:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.75,,m/s,342.3,graden,2910.0,NVT,
100,29-4-2021,06:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.64,,m/s,349.5,graden,2910.0,NVT,
101,29-4-2021,06:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.39,,m/s,355.9,graden,2910.0,NVT,
102,29-4-2021,06:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.21,,m/s,352.7,graden,2910.0,NVT,
103,29-4-2021,06:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.08,,m/s,352.5,graden,2910.0,NVT,
104,29-4-2021,06:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.15,,m/s,346.8,graden,2910.0,NVT,
105,29-4-2021,07:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.62,,m/s,345.4,graden,2910.0,NVT,
106,29-4-2021,07:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.2,,m/s,344.4,graden,2910.0,NVT,
